Genre,UPC,MovieID,CatalogNo,Title
Drama,707729162926,1,172,10.5
Drama,707729109723,2,PO 89 90 91 92 93 94,10th Kingdom
Drama,794043838927,3,312,11:14
Romance,043396014213,4,CDISK2 20,13 Going 30
Horror,039414581393,5,308,13th Child
Action,794043516627,6,GP2 15 16,15 Minutes
Action,012569810402,7,S9,16 Blocks
Comedy,723952077141,8,CDISK2 13,2 B Perfectly Honest
Action,025192297526,9,BC 26 27,2 Fast 2 Furious
Comedy,097363349341,10,RP 53 54,200 Cigarettes
Sci-Fi,663286201235,11,T1 82,2001: A Space Odyssey 
Drama,043396117303,12,S5,2046
Sci-Fi,024543088172,13,T1 81,28 Days Later
Drama,024543469902,14,,28 Weeks Later
Drama,012236138587,15,176,29 Palms
Action,012569736627,16,,300
Action,085392118823,17,GP 91 92,3000 Miles To Graceland
Crime,043396034884,18,314,3-Way
Comedy,025192870620,19,380,40 Year Old Virgin
Crime,024543099130,20,170,44 Minutes: The North Hollywood Shoot-Out
Sci-Fi,043396050747,21,T1 119,6th Day
Action,043396111349,22,130,7 Seconds
Mystery,043396028548,23,167,8MM
Crime,043396127203,24,183,8MM 2
Action,603497284726,25,T1 81,9 Deaths of A Ninja
Sci-Fi,667068956726,26,T1 89,A.I.
Drama,097363380542,27,383,Abandon
Musical,602498075586,28,S4,Abba: Gold: Greatest Hits
Drama,720917542522,29,CDISK2 1,ABCD
Action,024543048985,30,RP 37,Ablaze
Horror,842498030257,31,S10,Abnormal Beauty
Comedy,794043631924,32,DVDW1 114,About Schmidt
Adventure,787364442096,33,DVDW1 24,Abraxas
Sci-Fi,031398107040,34,S13,Absolon
Sci-Fi,039414520200,35,CDISK2 7,Absolute Agression
Sci-Fi,024543037828,36,BO 75 76,Abyss
Action,786936178265,37,T1 91,Accidental Spy (2001)
Comedy,085392300020,38,GP 84,Ace Ventura: Pet Detective
Adventure,024543055679,39,BS 25 26,Active Stealth
Drama,829567018620,40,DVDW2 74,Acts of Worship
Comedy,043396076013,41,DVDW2 13,Adaptation
Drama,601641644747,42,S10,Addicted
Comedy,085391904120,43,GP2 90,Adventure of Pluto Nash
Action,601643428147,44,S13,Adventurers
Action,786936292763,45,230,Adventures of Sharkboy and Lavagirl
Action,097363337348,46,S7,Æon Flux
Action,027616906847,47,T1 76,Agency Cody Banks 2
Action,027616887412,48,CDP1 62 63 64 65 66 67,Agent Cody Banks
Adventure,039414597134,49,CDISK2 12,Air America
Action,043396718890,50,BO 3 4,Air Force One
Comedy,097360130546,51,133,Airplane
Comedy,097360148947,52,CDISK3 71,Airplane II
Anime,013023153899,53,204,Akira
Animation,786936223996,54,T1 110 111,Aladdin
Family,786936460933,55,T1 83,Aladdin and the King of Thieves
Drama,786936229035,56,S1,Alamo
Comedy,085392838721,57,DVDW1 70,Alex and Emma
Action,012569704565,58,CDISK2 127 128,Alexander
Sci-Fi,086162000751,59,378,Alien
Sci-Fi,687797600196,60,CDISK1 32,Alien Lockdown
Horror,024543157090,61,CDISK3 29 30,Alien vs. Predator
Sci-Fi,787364453498,62,BS3 80 81 82 83,Alien Worlds
Sci-Fi,086162000768,63,RP 1 2,Alien: Resurrection (1997)
Horror,012236173977,64,CDISK1 64,Alone In The Dark
Drama,037429121825,65,233,Amacord
Drama,667068538229,66,CDP1 13 14 15,American Beauty (Awards Edition)
Drama,012236201410,67,S13,American Haunting
Action,027616867681,68,BO2 53,American Ninja
Comedy,025192145520,69,BB 55,American Pie
Comedy,025192176920,70,BB 56,American Pie 2
Horror,025192094224,71,221,American Psycho
Horror,031398805922,72,221,American Psycho 2
Comedy,025192121920,73,BO2 73 74,American Werewolf In London
Comedy,043396063938,74,GP2 21 22,America's Sweethearts
Drama,027616120915,75,304,Amityville Horror
Thriller,043396817593,76,CDISK2 19,Anaconda
Horror,043396032552,77,CDISK1 70,Anacondas: Hunt for The Blood Orchid
Horror,043396008328,78,S4,Anatomy 2
Comedy,678149300529,79,CDISK1 83,Anchorman: The Legend of Ron Burgundy
Action,881273000528,80,307,Ancient Warriors
Biography,013023267299,81,DVDW1 4,And Starring Pancho Villa as Himself
Action,601643451848,82,S13,Angel On Fire
Drama,097363360773,83,T1 105,Angela's Ashes
Comedy,043396100374,84,CDP1 98 99 100,Anger Management
Action,085393731625,85,T1 86,Animatrix
Romance,024543000440,86,BO2 45 46,Anna and The King
Action,842498030332,87,S10,Another Public Enemy
Sci-Fi,027616861436,88,BO2 67 68,Antitrust
Animation,667068467123,89,DVDW3 101,Antz
Comedy,678149085228,90,S5,Anything Else
Action,097360962949,91,DVDW1 77,Apocalypse Now Redux
Sci-Fi,025192046124,92,PO 17 18,Apollo 13
Comedy,024543247135,93,S9,Aquamarine
Sci-Fi,031398797425,94,BO 89,Arachnid
Comedy,043396069756,95,10,Are We There Yet
Thriller,043396039261,96,S5,Arlington Road
Fantasy,601643907345,97,CDISK1 8,Armageddon
Sci-Fi,717951000842,98,PO 47 48,Armageddon
Anime,013023100008,99,BS 43 44,Armitage III
Horror,013131092691,100,GP2 49 50,Army of Darkness
Action,012236116073,101,GP2 79 80,Army of One
Adventure,786936252477,102,DVDW2 120,Around the World in 80 Days
Sci-Fi,012236114437,103,CDISK2 44 45,Arrival
Action,085391887126,104,BO2 1 2,Art of War
Drama,043396223097,105,CDISK3 21,Art Pupil
Action,687797954091,106,S12,Asoka
Action,085391398721,107,CDISK2 39,Assassins
Action,025192629426,108,CDISK1 67,Assault on Precinct 13
Action,043396283596,109,289,Assignment
Animation,013138201690,110,192,Astro Boy
Animation,N/A,111,PO 28,Astro Boy
Fantasy,043396060289,112,DVDW2 8,Asylum of The Damned
Romance,027616744722,113,BB 80 81 82,At First Sight
Animation,786936166095,114,BO 79 80,Atlantis The Lost Empire
Action,783722726426,115,399,Aussie Park Boyz
Action,794043607820,116,DVDW1 6,Austin Powers in Goldmember
Comedy,794043489129,117,BO 33 34,Austin Powers The Spy Who Shagged Me
Comedy,794043457722,118,S1,Austin Powers: International Man of Mystery
Romance,027616857613,119,DVDW2 20,Autumn In New York
Drama,085393893927,120,CDISK1 76,Aviator
Family,025192045523,121,372,Babe
Baby,786936179705,122,BS2 49 50,Baby Einstein: Language Nursery
Family,043396037113,123,373,Baby Geniuses
Comedy,024543016441,124,310,Bachelor Party
Drama,786936190359,125,RP 4,Backflash
Musical,012414177995,126,T1 90,Backstreet Boys - Great Video Hits Chaper One
Musical,012414158994,127,BO2 16,Backstreet Boys All Access DVD
Musical,012414174796,128,BP 41,Backstreet Boys: Around The World - Black & Blue
Action,043396107120,129,BO 91 92,Bad Boys
Action,043396006195,130,BC 50 51 52,Bad Boys II
Action,786936052688,131,CDISK3 91,Bad Company
Comedy,097363445746,132,S3,Bad News Bears
Comedy,786936240467,133,DVDW2 29,Bad Santa
Crime,031398821229,134,GP2 72 73 74,Badge
Action,085392341627,135,229,Balistic: Ecks vs. Sever
Sports,025193184924,136,,Balls of Fury
Family,786936240252,137,S6,Bambi II
Comedy,027616873859,138,GP2 17 18 19,Bandits
Action,780063992725,139,BO 77 78,Barb Wire
Adventure,097360681277,140,PO 38,Barbarella: Queen Of The Galaxy
Family,045986028181,141,CDISK3 20,Barney - Best Manners (Invitation To Fun)
Family,045986028358,142,CDISK2 117 CDISK3 20,"Barney: Happy, Mad, Silly, Sad"
Animation,086162126000,143,CDISK3 88,Bartok: The Magnificent
Thriller,043396097452,144,DVDW1 87,Basic
Action,012569594159,145,S7,Batman Begins
Animation,085391784821,146,CDISK1 53,Batman Beyond
Anime,013023012097,147,RP 33,Battle Athletes #1: On Your Mark
Anime,013023012592,148,GP 89 90,"Battle Athletes #2: Ready, Set, Go. Ready"
Documentary,B00008YLV1,149,CDISK2 38,Battle of the X-Planes
Documentary,783421378995,150,CDISK3 78,Battle Plan Under Fire: Nova
Sci-Fi,085391856627,151,BO 83 84,Battlefield Earth
Sci-Fi,025192380822,152,CDISK1 105,Battlestar Galactica
Comedy,027616928412,153,145,Be Cool
Drama,024543001768,154,T1 92,Beach
Comedy,025192266423,155,303,Bean
Action,719987218024,156,GP 67,Beautiful Killing Machine
Drama,025192145025,157,DVDW2 79,Beautiful Mind
Comedy,027616929006,158,330,Beauty Shop
Comedy,053939253122,159,T1 126,Before Sunrise
Drama,085393896225,160,T1 127,Before Sunset
Action,024543038023,161,DVDW2 21,Behind Enemy Lines
Drama,N/A,162,T1 96,Behind The Sun
Horror,786936214673,163,DVDW2 111,Below
Comedy,043396138698,164,S11,Benchwarmers
Comedy,024543084266,165,DVDW1 26,Bendit Like Beckham
Horror,786936188660,166,CDISK1 93,Beneath Loch Ness
Comedy,085391895121,167,S5,Best In Show
Drama,786936291193,168,S6,Best of Youth
Drama,012569086425,169,DVDW2 54,Betsy
Short,043396003651,170,S5,Better Than Sex
Action,601643006840,171,S13,Better Tomorrow 3
Crime,013131125993,172,S13,Better Tomorrow II
Action,601643006642,173,DVDW1 83,"Better Tomorrow, A"
Action,097360113440,174,CDISK2 75,Beverly Hills Cop
Comedy,043396102101,175,140,Bewitched
Drama,097363399247,176,S2,Beyond Borders
Sci-Fi,717951004888,177,CDP1 83 84 85,Bicentennial Man
Crime,085392836826,178,T1 75,Big Bounce
Action,601643484341,179,S13,Big Bullet
Drama,043396008373,180,DVDW1 91,Big Fish
Comedy,025192266621,181,T1 117,Big Lebowski
Action,024543008194,182,S3,Big Momma's House
Comedy,717951001566,183,CDISK2 63,Big One
Comedy,786936165418,184,CDISK2 124,Big Trouble
Action,024543044758,185,CDISK2 77,Big Trouble In Little China
Comedy,096009444693,186,S9,Big White
Comedy,027616927361,187,DVDW2 118,Bigger Than The Sky
Sci-Fi,027616869265,188,GP 30,Bill & Ted's Excellent Adventure
Sci-Fi,638652106605,189,BO 1 2,Bio Hunter Special Edition
Animation,786936207378,190,DVDW1 85,Bionicle: Mask of Light (2003)
Drama,794043783821,191,341,Birth
Drama,717951010865,192,GP 59 60,Birthday Girl
Thriller,687797600899,193,CDISK2 24,Black Cadillac
Action,043396128156,194,CDISK3 77,Black Dawn
Action,025192039126,195,CDISK2 82,Black Dog
Action,043396067660,196,223,Black Hawk Down
Adventure,012236150305,197,CDISK1 95,Black Horizon
Action,012236114048,198,BO 32,Black Mask
Action,097363222071,199,BO2 51 52,Black Rain
Comedy,097363324249,200,310,Black Sheep
Action,794043470929,201,BO2 27 28 S19,Blade
Action,794043555428,202,S1 S19,Blade II
Action,085391268222,203,CDISK2 66,Blade Runner
Action,794043781827,204,S19,Blade Trinity
Drama,012236112662,205,GP 76,Blair Witch Project
Action,687797613790,206,325,Blast
Horror,097363279648,207,GP 69 70,Bless The Child
Action,043396049192,208,GP2 56,Blind Fury
"Thrillers , Vampires , Action , Foreign , Horror , Japanese",043396309425,209,PO 43 44+,Blood The Last Vampire
Crime,085392420124,210,BS 68 69,Blood Work
Supernatural & Paranormal,855280001380,211,S9,Bloodrayne
Action,883476000596,212,,Bloodrayne 2
Action,031398181200,213,DVDW2 70,Bloody Mallory
Drama,794043528422,214,T1 118,Blow
Action,012236146636,215,RP 9 10 11 12,Blown Away
Comedy,085392465729,216,DVDW2 14,Blue Collar Comedy Tour
Family,097368397248,217,CDISK3 93,Blue's Big Musical Movie
Action,025192674426,218,285,Blues Brothers
Children,097368899148,219,S8,Blue's Jobs
Children,097368773943,220,CDISK3 85,Blue's Room Alphabet Power
Drama,014381321425,221,219,"Bodies, Rest & Motion"
Action,085391297628,222,GP2 1,Boiling Point
Romance,N/A,223,DVDW3 95,Bol Radha Bol
Romance,805239901599,224,CDISK1 87,Bollywood Queen
Action,677880100290,225,GP 85,Bomb Squad (1997) (TV)
Music,780063621922,226,S6,Bon Jovi Live From London
Horror,687797963093,227,367,Bone Snatcher
Horror,794043540721,228,GP2 38,Bones
Horror,043396012691,229,CDISK1 46,Boogeyman
Action,786936241440,230,DVDW2 121,Born To Defense
Adventure,043396116290,231,288,Bottle Rocket
Thriller,687797600493,232,CDISK1 84,Bound by Lies
Action,025192499326,233,CDISK1 54,Bourne Supremacy
Spies/Secret Agents,025192499326,234,,Bourne Supremacy
Comedy,025192057625,235,CDISK2 118,Bowfinger
Horror,016351094391,236,395,Bram Stoker's Way of the Vampire
Drama,097361558448,237,BB 105 106,BraveHeart
Romance,658149788626,238,RP 59 60,Bread and Roses
Comedy,026359147029,239,GP2 47 48,Breast Men
Romance,027616809223,240,GP 32,Breathless
Musical,786936278330,241,S5,Bride and Prejudice
Action,027616675729,242,S13,Bridge Too Far
Comedy,786936161977,243,BO2 72,Bridget's Jone Diary
Comedy,786936227130,244,DVDW1 10,Bringing Down The House
Musical,012414170491,245,BB 85 86,Britney Spears Live and More!
Musical,012414178497,246,CDISK1 103,Britney Spears: Live from Las Vegas
Drama,024543000037,247,DVDW2 7,Brokedown Palace
Action,086162104206,248,BS 5 6 7,Broken Arrow
Adventure,025192847721,249,CDISK3 99,Broken Flowers
Animation,786936224023,250,DVDW1 56,Brother Bear
Action,025192211522,251,CDISK2 79,Brotherhood of The Wolf
Adventure,786936692174,252,CDISK3 94,Brothers Grimm
Comedy,025192282324,253,T1 93,Bruce Almighty
Drama,601643852744,254,CDP1 43 44,Bruce Lee's Jeet Kune Do
Thriller,031398777229,255,T1 124,Bruiser
Comedy,786936165401,256,BB 121,Bubble Boy
Action,702727002526,257,DVDW1 109,Bubblegum Crisis
Drama,786936233469,258,CDISK1 78,Buffalo Soldiers
Family,717951001818,259,DVDW2 81,Bug's Life
Action,601643195445,260,S13,Bullet In The Head
Action,027616888396,261,CDP1 95,Bulletproof Monk
Sci-Fi,4895024906416,262,DVDW3 99,Bury Me High
Drama,786936144666,263,227,Butterfly
Drama,794043717321,264,T1 73,Butterfly Effect
Horror,031398110842,265,DVDW1 17,Cabin Fever
Comedy,043396824294,266,T1 121,Cable Guy
Comedy,043396027145,267,S3,Can't Hardly Wait
Romance,786936242683,268,281,Carolina
Drama,027616865519,269,GP 83,Carrie
Action,043396148598,270,,Casino Royale
Drama,024543036630,271,BB 64,Cast Away
Animation,786936175219,272,319 CDISK3 27 28,Castle In The Sky
Adventure,025192147623,273,DVDW1 36,Cat in the Hat
Adventure,667068998221,274,T1 92,Catch Me If You Can
Action,024543123231,275,DVDW1 113,Catch That Kids
Comedy,085392229321,276,BP 24 DVDW1 15,Cats & Dogs
Action,085393145026,277,T1 114,Catwoman
Action,043396070967,278,CDISK3 97,Cave
Sci-Fi,031398191759,279,S7,Caved In Prehistoric Terror
Musical,074645022994,280,DVDW2 109 110,Celine Dion All The Way
Musical,098707972898,281,CDISK3 39,Celine Dion: A New Day Has Come
Thriller,794043515026,282,BP 33,Cell
Thriller,794043763120,283,CDISK1 81,Cellular
Horror,031398187813,284,S12,Cerberus
Action,097363343042,285,DVDW2 15,Changing Lanes
Comedy,717119864347,286,65,Chaos
Comedy,039414520378,287,CDISK1 55,Chapter Zero
Adventure,012569593367,288,292,Charlie and Chocalate Factory
Action,043396021457,289,DVDW3 29,Charlie Angel's Full Throttle
Action,043396060173,290,206,Charlie's Angels
Documentary,794051192721,291,CDISK1 1,Chased By Dinosaurs
Comedy,717951002372,292,DVDW1 128,Chasing Amy
Comedy,024543086147,293,DVDW2 36,Chasing Papi
Comedy,024543116080,294,DVDW1 4,Cheaper by The Dozen
Musical,786936219197,295,CDP1 52 53 54 55,Chicago
Animation,786936246803,296,S8,Chicken Little
Animation,667068645323,297,DVDW3 101,Chicken Run
Horror,786936160345,298,DVDW1 32,Children of the Corn: Revelation
Horror,027616750426,299,BO2 69 70,Child's Play
Action,085391804628,300,S4,Chill Factor
Documentary,720917314822,301,DVDW2 119,China A Century of Revolution
Action,786936223538,302,208,China Strike Force
Crime,097361551647,303,BS2 41 42 43,Chinatown
Action,024543014157,304,DVDW2 22,Chinese Connection
Comedy,018713510747,305,CDISK2 115,Chooch
Drama,675754600327,306,S12,Chori Chori Chupke Chupke
Comedy,043396048614,307,326,Christmas With The Kranks
Fantasy,786936292930,308,S7,Chronicles of Narnia
Adventure,025192632426,309,DVDW2 124,Chronicles of Riddick
Drama,687797109897,310,283,Chrystal
Comedy,678149196726,311,S2,Chumscrubber
Family,786936239294,312,S8,Cinderella
Biography,025192211928,313,309,Cinderella Man
Comedy,085393145224,314,DVDW2 95,Cinderella Story
Family,014381020625,315,136,Cingo Amigas
Crime,085392208227,316,S2,City by The Sea
Action,024543078357,317,T1 94,City Hunter
Drama,085391632023,318,S2,City of Angels
Crime,027616889997,319,S3,City of Ghosts
Crime,786936223897,320,232,City of God
Drama,601641447447,321,159,City of SARS
Documentary,625712130434,322,CDISK2 51,City of Steel: Carrier
Action,786936158496,323,DVDW2 60,City On Fire
Drama,717951001917,324,S3,Civil Action
Adventure,012569513723,325,RP 41 42,Clash of The Titans
Action,097363246374,326,CDISK2 77,Clear and Present Dangers
Comedy,717951002716,327,RP 63 64,Clerks
Animation,085393492823,328,CDISK3 89,Clifford's Really Big Movie
Drama,085391736721,329,CDISK2 96,Clockwork Orange
Crime,687797999092,330,129,Close Your Eyes
Drama,043396048478,331,369,Closer
Comedy,024543207788,332,S5,Cloud 9
Documentary,053939819823,333,T1 104,CNN Millenium 2000
Drama,097363412649,334,S8,Coach Carter
Adventure,024543115878,335,CDISK1 2,Cocoon
Action,027616854766,336,CDP1 21 22 23,Code of Silence
Drama,786936226393,337,DVDW1 35,Cold Creek Manor
Drama,786936242164,338,T1 74,Cold Mountain
Crime,678149173420,339,CDISK1 72,Collateral
Mystery,717951003430,340,CDP1 86 87 88,Color of Night
Action,086162104244,341,T1 116 CDISK2 113,Commando
Action,717951000262,342,PO 13 14 15,Con Air
Action,012236126843,343,BO2 55 56,Con Express
Thriller,097363303879,344,GP 4,Congo
Comedy,025192386022,345,CDISK2 25,Connie and Carla
Thriller,085391509127,346,BO2 83 84,Conspiracy Theory
Horror,085393894221,347,CDISK2 83,Constantine
Drama,025192629228,348,S5,Contant Gardener
Action,043396065994,349,DVDW2 73,Contract Killer
Thriller,085391416821,350,GP2 39 40,Copycat
Drama,097363346746,351,CDP1 80 81 82,Core
Action,794043477621,352,208,Corruptor
Documentary,794051804723,353,CDISK2 107,Cosmic Voyage
Action,786936165395,354,CDISK2 78,Count of Monte Cristo
Action,043396090552,355,T1 80,Cowboy Bebop The Movie
Drama,027616878878,356,PO 37 +,CQ
Documentary,783421333291,357,CDISK2 43,Cracking the Code of Life
Action,085392341122,358,DVDW1 108,Cradle 2 The Grave
Horror,690445006028,359,CDISK3 69,Creature Unknown
Crime,097368796348,360,179,Crime Spree
Crime,085393896829,361,CDISK1 110,Criminal
Thriller,043396097070,362,CDISK2 23,Crimson Rivers
Action,717951000149,363,CDISK2 76,Crimson Tide
Comedy,027616880567,364,RP 55,"Crocodile Hunter, The: Collision Course"
Action,043396059900,365,CDISK2 60,"Crouching Tiger, Hiden Dragon"
Horror,025192940422,366,CDISK3 62 63,Cry Wolf
Drama,012236132509,367,CDISK3 56,Crying Game
Thriller,031398691433,368,RP 45,Cube
Horror,017153114010,369,360,Cujo
Horror,039414560084,370,CDISK3 64,Cup of My Blood
Adventure,096009443498,371,,Curse of King Tut's Tomb
Horror,733807816146,372,CDISK1 13,Curse of The Komodo
Horror,786936293975,373,,Cursed
Sci-Fi,027616656124,374,BO 27,Cyborg
Sci-Fi,031398705536,375,BO 28,Cyborg 2
Comedy,043396111301,376,CDISK1 98,D.E.B.S
Documentary,733961745252,377,S7,Da Vinci and The Code He Lived By
Comedy,043396017139,378,BC 42 43 44,Daddy Day Care
Horror,658149800229,379,BO2 65 66,Dagon
Drama,821575540650,380,284,Dallas 362
Horror,024543004493,381,DVDW1 29,Damien Omen II
Action,025192045028,382,GP 71 72,Dante's Peak
Action,024543077886,383,DVDW2 32,Daredevil
Animation,786936203196,384,GP2 53 54 55,Daredevil vs Spider-man
Action,027616886446,385,CDISK3 118,Dark Blue
Drama,786936242904,386,CDISK3 100,Dark Water
Thriller,N/A,387,DVDW2 11 S13,Darr
Comedy,024543247012,388,S8,Date Movie
Action,025192386121,389,DVDW2 87,Dawn of The Dead
Drama,027616911254,390,CDISK1 14,Day After
Action,024543135548,391,DVDW2 72,Day After Tomorrow
Comedy,000799447628,392,CDISK1 61,Day Without A Mexican
Action,097363212379,393,GP 1 2,Days of Thunder
Crime,027616784926,394,191,Dead  Man Walking
Action,717951000392,395,BS2 11 12,Dead Presidents
Horror,658149805927,396,DVDW1 62,Dead Zone 
Thriller,043396115408,397,393,Deal
Horror,043396075085,398,DVDW2 89,Decoys
Sci-Fi,687797600394,399,CDISK1 31,Deep Evil
Drama,097363308270,400,BS 52 53 54,Deep Impact
Sci-Fi,717951000651,401,CDISK2 55,Deep Rising
Action,024543027997,402,CDISK2 19,Deep Water
Adventure,085391544524,403,DVDW2 107,Deliverance
Action,027616852908,404,BO2 61 62,Delta Force 2
Action,085392208029,405,CDISK3 52,Delta Force One
Action,085391298526,406,RP 39 40,Demolition Man
Action,024543097945,407,CDP1 27 28 29,Derailed
Drama,796019786492,408,S7,Derailed
Thriller,024543086482,409,DVDW1 37,Desert Saints
Action,043396116597,410,229,Desperado
Comedy,027616850799,411,GP2 11 12,Desperately Seeking Susan
Action,043396138322,412,S8,Detonator
Horror,039414560046,413,CDISK2 35,Detour 2002
Comedy,717951009289,414,BO2 54,Deuce Bigalow Male Gigolo
Comedy,043396101074,415,338,Deuce Bigolow European Gigolo
Drama,027616865410,416,GP 73 74 75,Deuces Wild
Comedy,024543374404,417,S14,Devil Wears Prada
Action,031398185376,418,CDISK2 119 120,Devil's Rejects
Horror,039414581584,419,CDISK1 97,Devons Ghost
Drama,031398823025,420,366,Diamond Men
Comedy,031398175568,421,S8,Diary of A Mad Black Woman
Comedy,043396040014,422,DVDW1 1,Dick
Action,027616884282,423,CDISK2 81,Die Another Day
Action,086162103995,424,214,Die Hard
Action,086162104121,425,214,Die Hard 2
Action,024543021513,426,T1 122,Die Hard With Vengence
Drama,031398166979,427,329,Different Loyalty
Documentary,727994750468,428,S11,Dinosaur Hunters
Documentary,012236150145,429,CDISK1 99,Dinosaur Planet: Disk 1
Documentary,012236150145,430,CDISK1 100,Dinosaur Planet: Disk 2
Drama,707729128397,431,BO2 21 22 23,Dinotopia
Adventure,018713506764,432,,Dinotopia: Quest for the Ruby Sunstone
Crime,043396128743,433,S8,Dirty
Romance,012236044406,434,336,Dirty Dancing
Comedy,687797111869,435,357,Dirty Love
Drama,786936232073,436,DVDW2 30,Dirty Pretty Things
Comedy,794043775420,437,CDISK2 15,Dirty Shame
Comedy,085392124923,438,CDISK2 3,Dish
Horror,097363483441,439,,Disturbia
Comedy,024543152699,440,CDISK1 96,Dodgeball: A True Underdog Story
Action,723952076441,441,DVDW1 93,Dog Gone
Action,012236131083,442,CDISK2 82,Dog Soldiers
Comedy,043396056145,443,BB 113 114,Dogma
Action,027616860965,444,GP2 9 10,Dogs of War
Action,794043101366,445,S6,Domino
Drama,024543036401,446,353,Donnie Darko
Comedy,N/A,447,T1 128,Don't Tempt Me
Action,025192031229,448,S6,Doom
Road Trips,031398683636,449,GP 23,Doom Generation
Children,097368898844,450,S10,Dora The Explorer Animal Adventures
Animation,097368890244,451,CDISK3 102,Dora The Explorer Save The Day!
Animation,097368774049,452,CDISK3 37,Dora The Explorer: Dance To The Rescue
Animation,097368768840,453,CDISK3 35,Dora the Explorer: Dora's Christmas
Animation,097368797949,454,CDISK3 67,Dora The Explorer: Fairytale Adventure
Anime,N/A,455,BB 71,Doraemon (1973)
Anime,4988102822712,456,DVDW2 79 80,Doraemon The Movie 1 and 2
Action,043396832398,457,BO 11,Double Team
Action,601643573045,458,CDISK2 65,Downtown Torpedoes
Comedy,024543234555,459,S8,Dr. Dolittle 3
Comedy,012236115885,460,151,Dr. T & The Women
Horror,786936145038,461,BB 63,Dracula 2000
Sci-Fi,012236167181,462,CDISK1 45,Dracula 3000
Sci-Fi,024543078197,463,DVDW2 25,Dragon Fighter
Sci-Fi,025192067921,464,BO 63,Dragonheart A New Beginning
Animation,012236159940,465,CDISK1 62,Dragons Fire and Ice
Fantasy,043396104785,466,8,Dragons' World: A Fantasy Made Real
Action,097360136746,467,DVDW2 92,Dragonslayer
Horror,085392466429,468,DVDW1 102,Dreamcatcher
Animals & Nature,678149197624,469,S9,Dreamer
Action,085392101320,470,PO 25 26 27,Driven
Comedy,794043492723,471,GP2 60,Drop Dead Gorgeous
Comedy,043396083905,472,BS3 117,Drunken Master
Comedy,024543017936,473,BO2 93,"Dude, Where's My Car ?"
Comedy,012236171065,474,CDISK1 101,"Dude, Where's The Party"
Action,012569736658,475,359,Dukes of Hazzard
Comedy,794043673221,476,BC 65 66,Dumb and Dumberer
Sci-Fi,012236125297,477,BP 43 44,Dune: Special Edition Director's Cut
Fantasy,794043524523,478,BO2 31 32,Dungeons & Dragons
Action,027616929167,479,339,Dust to Glory
Science Fiction,687797120199,480,,Earthstorm
Thriller,025193330123,481,,Eastern Promises
Adventure,043396017498,482,392,Easy Rider
Comedy,045778668991,483,DVDW2 1,Eddie Izzard Circle
Action,085392330928,484,BO2 44,Eight Legged Freaks
Action,024543182641,485,CDISK1 27,Elektra
Comedy,786936244892,486,S1,Ella Enchanted
Drama,043396050457,487,220,Emperor and the Assassin
Animation,786936144413,488,BO2 85,Emperor's New Groove
Drama,085391175322,489,CDISK2 53,Empire of The Sun
Action,043396128910,490,S5,Empire of The Wolves
Comedy,085391416920,491,GP 39,Empire Records
Sci-Fi,024543263838,492,S11,Empire Strikes Back
Comedy,031398169222,493,150,Employee of The Month
Horror,025192072123,494,BP 19 20,End of Days
Drama,024543245704,495,S10,End of The Spear
Thriller,821575533454,496,CDISK1 42,Endangered Species
Action,085391592129,497,DVDW2 5,Enter the Dragon (1973)
Spoofs,024543438519,498,,Epic Movie
Sci-Fi,658149797420,499,T1 115,Epoch
Action,024543130666,500,CDISK1 11,Epoch: Revolution
Action,786936181081,501,CDISK3 57 B1,Equilibrium
Action,024543426981,502,,eragon
Comedy,736991664296,503,DVDW1 23,Erotic Misadventures of The Invisible Man
Action,097363324973,504,S2,Escape from L.A.
Action,027616854773,505,CDISK2 61,Escape From New York
Drama,025192395925,506,CDISK3 119,Eternal Sunshine of The Spotless Mind
Comedy,012236171850,507,CDISK1 102,Eulogy
Drama,027616884190,508,DVDW1 55,Europa Europa
Comedy,678149188622,509,DVDW1 115,Eurotrip
Biography,053939689921,510,S14,Evel Knieval
Horror,097363348276,511,DVDW1 95,Event Horizon
Action,013131066791,512,CDISK2 66,Evil Dead
Sci-Fi,667068892321,513,BP 2,Evolution
Fantasy,085392201822,514,BB 127 128,Excalibur
Action,085391421122,515,BO2 13 14,Executive Decision
Sci-Fi,717951005120,516,BB 50,Existenz
Action,085392106929,517,GP 53 54,Exit Wounds
Drama,043396136779,518,207,Exorcism of Emily Rose
Horror,06000202614,519,DVDW1 104,Exorcist
Horror,085391748823,520,DVDW1 59,"Exorcist III, The"
Adventure,085392467426,521,S4,Exorcist: The Beginning
Documentary,014381012422,522,CDISK1 88,Expanding Universe
Documentary,056775021092,523,S11,Experience The Deep
Drama,043396009646,524,S6,Experiment
Action,012569599307,525,S5,Extreme Dating
Action,804868430029,526,BS 87 88,Extreme Days
Documentary,689208,527,CDISK1 7,Extreme Engineering: Bridging the Bering Strait
Documentary,689208,528,CDISK1 25,Extreme Engineering: Building Hong Kong's Airport
Documentary,689208,529,CDISK3 11,Extreme Engineering: City in A Pyramid
Documentary,689208,530,CDISK3 12,Extreme Engineering: Holland's Barriers to The Sea
Documentary,689208,531,CDISK1 5,Extreme Engineering: Subways In America
Documentary,689208,532,CDISK1 6,Extreme Engineering: Tokyo's Sky City
Documentary,689208,533,CDISK1 5,Extreme Engineering: Transatlantic Tunnel
Documentary,689208,534,CDISK1 25,Extreme Engineering: Tunneling Under the Alps
