platform,what,details,key,platformValue
,Detect Orientation 1:iOS,"In UIViewController -

- (BOOL)shouldAutorotateToInterfaceOrientation:(UIInterfaceOrientation)interfaceOrientation {
    return YES;
}

- (void)willAnimateRotationToInterfaceOrientation:(UIInterfaceOrientation)interfaceOrientation duration:(NSTimeInterval)duration {
    if (UIInterfaceOrientationIsLandscape(interfaceOrientation)) {
        NSLog(@""landscape"");
    } else {
        NSLog(@""portrait"");
    }
}",,
,Constant:iOS,"// constants.h
extern NSInteger const MyIntegerConstant;

// constants.m
NSInteger const MyIntegerConstant = 666;

http://stackoverflow.com/questions/554256/integer-constants",,
,Layout:Wicket,"Use Markup Inheritance

http://ondra.zizka.cz/stranky/programovani/java/web/wicket/wicket-extend-child-inheritance-include-example.texy",,
,Persistence Mapping:Java,"@basic
@embedded

ps. @embeddable is the entity class embedded

http://schuchert.wikispaces.com/JPA+Tutorial+1+-+Embedded+Entity",,
,SQL Debug:iOS,"1. Create an iOS project with Core Data

2. Edit Scheme For ""Run"" action

3. Choose Arguments Tab

4. Add an argument such as ""-com.apple.CoreData.SQLDebug 1""",,
,1-to-many Mapping:iOS,"    NSSet *attNameSet = [[NSSet alloc] initWithObjects:attName, nil];
    NSSet *attValueSet = [[NSSet alloc] initWithObjects:attValue, nil];
    [object setValue:attNameSet forKey:@""attName""];
    [object setValue:attValueSet forKey:@""attValue""];

http://www.raywenderlich.com/934/core-data-tutorial-getting-started",,
,Common Codes:Struts,"Interceptor i.e.

1. intercept() - before an Action
2. beforeResult() - between Action and View
3. After return invocation.invoke() - after the View

http://www.benmccann.com/dev-blog/struts-2-tutorial-interceptors/",,
,Packaging:Struts,struts.xml,,
,MVC Controller:Struts,"Action class

It is no longer a singleton, therefore it can contrains a class level instance like a POJO model to save the inputs entered by a user between requests (in classic Struts, it was a singleton)",,
,Prevent Duplicated Submit:Struts,"In the .html -

<s:form>
   <s:token/>
...
</s:form>

In struts.xml -

<interceptors>    
    <interceptor-stack name=""tokenStack"">
      <interceptor-ref name=""token""/>
      <interceptor-ref name=""defaultStack""/>
    </interceptor-stack>
...

<action name=""Token"" class=""com.avhdeveloper.actions.Delay"">
      <interceptor-ref name=""tokenStack""/>
...
</action>",,
,Fixed UI:HTML,"  position: fixed;

e.g.

#nav-fixed {
  position: fixed;
}",,
,SQL based ORM:iOS,"e.g.

- (NSPersistentStoreCoordinator *)persistentStoreCoordinator
{
…
    NSURL *storeURL = [[self applicationDocumentsDirectory] URLByAppendingPathComponent:@""VideoBrowser.sqlite""];
    NSLog(@""storeURL = %@"", storeURL);
    NSError *error = nil;
    __persistentStoreCoordinator = [[NSPersistentStoreCoordinator alloc] initWithManagedObjectModel:[self managedObjectModel]];
…    
    return __persistentStoreCoordinator;
}

VideoBrowser.sqlite is the typical sqlite3 file",,
,Association:JDO,"@PersistenceCapable public class A { @Unowned B b; }

@PersistenceCapable public class B {...}

Persist of an A with related B will persist the A and B (though the Key of the B will obviously have no parent Key component). Entity of A will have a property containing the Key of the related B. Loading of such objects will pull in the related object as per the Fetch Plan (which the user controls, as per the JDO spec), so when it needs the B then it does a get of the B using the Key.",,
,Core MVC:Struts,"Action, Result and FilterDispatcher",,
,Launch:Struts,"In struts.xml

1. Package namespace + action name + jsp in the result (default is SUCCESS) e.g. /ns/an
2. The above but action with class specified
3. The above two but with action method specified (not the default execute method in action)
4. Wildcard in action name e.g. */* which can be referred as {1} and {2} in the result",,
,Main Concepts:Struts,". struts.xml defines almost everything
. Struts2 front controller is a filter (vs servlet in 1.x), action is a separate instance for each request (vs singletons in 1.x) and with no form bean; action can be the model
. Validation can be supported by extending ActionSupport (validate, with addFieldError/addActionError)
. Action can be made a pure controller by having a separate model by implementing ModelDriven interface
",,
,Cross Cutting:Struts,"Using interceptor
. Implements interceptor's intercept method
. Get the session via ActionInvocation context
. Invoke invocation.invoke to call the next component in queue


",,
,Moving To:PhoneGap,"1) Rewrite the app to reference files (e.g., images, sounds) locally (as opposed to a server directory) and rename the first page of the web app to ""index.html.""
2) Embed an iFrame inside a simple PhoneGap app that references the web app. This requires no changes to the web app, but changing the PhoneGap configuration file to let external sources open within an iFrame and not open in mobile Safari
3) Using jQuery Mobile inside the PhoneGap app, inject the web app into index.html (no frame)",,
,Log:Android,"Log.d(""packagename.classname"", String.format(""userid = %s, password = %s"", userId, password));

Log.e(""...

adb stop-server (optional)

adb start-server

adb logcat",,
,Multimedia:Android Web,Android WebView does support the <audio/> or <video/> tags from HTML5,,
,File System:PhoneGap,"The getDirectory() and getFile() methods are asynchronous methods so one need to create a success callback to get the proper return values.

http://docs.phonegap.com/en/1.1.0/phonegap_file_file.md.html#DirectoryEntry",,
,Camera 2:PhoneGap,"As well make sure you have put:

android:configChanges=""orientation|keyboardHidden""

in your AndroidManifest.xml. If not the main html page will reload when you return from the camera.",,
,Native Data Reload:iOS,"- (void)viewWillAppear:(BOOL)animated
{
    [super viewWillAppear:animated];
    NSError *error = nil;
    if (![[self fetchedResultsController] performFetch:&error]) {
        NSLog(@""Unresolved error %@, %@"", error, [error userInfo]);
        abort();
    }
    [self.tableView reloadData];

By default, the above are generated in - (void)viewDidLoad with UISplitViewController project",,
,String Parsing:Java,"Scanner over StringTokenizer

http://stackoverflow.com/questions/691184/scanner-vs-stringtokenizer-vs-string-split",,
,Core MVC:Spring MVC,"In org.springframework.web.servlet.mvc.annotation 
AnnotationMethodHandlerAdapter for REST and 
InternalResourceViewResolver for view",,
,Detect Orientation 2:iOS,"In UIViewController -

-(void) didRotateFromInterfaceOrientation:(UIInterfaceOrientation)fromInterfaceOrientation {
	if((self.interfaceOrientation == UIDeviceOrientationLandscapeLeft) || (self.interfaceOrientation == UIDeviceOrientationLandscapeRight)){
        NSLog(@""landscape"");
	} else	if((self.interfaceOrientation == UIDeviceOrientationPortrait) || (self.interfaceOrientation == UIDeviceOrientationPortraitUpsideDown)) {
        NSLog(@""portrait"");
    }
}",,
,Translation:jQuery,"Moving element using .appendTo (yes, there is no moveTo)",,
,Hovering:jQuery,"Your parent element has children elements and your parent element have mouseover/mouseout event. Now when you mouseover/mouseout on children element, it fires parent's mouseover/mouseout event. This is caused by event bubbling/propagation.

http://www.programmingfacts.com/problems-parents-jquery-mouseovermouseout/",,
,String Tokenizer:Google Apps Script,"Split

https://docs.google.com/support/bin/static.py?page=table.cs&topic=25273",,
,String Tokenizer:Java,Scanner,,
,Packaging:Maven,".pom file, generated under target directory",,
,Packaging:Gradle,"build.gradle file, generated under build directory

typically contains just:

apply plugin 'java'

Gradle expects to find your productionsource code under src/main/java and your test source code under src/test/java. In addition, any files under src/main/resources will be included in the JAR file as resources, and any files under src/test/resources will be included in the classpath used to run the tests.",,
,Has String:iOS,"NSString* search = @""Where's the manual?"";
NSRange range = [search rangeOfString: @""the""];
NSLog( @""Found at %u"", range.location );

http://stackoverflow.com/questions/4990304/string-compare-in-ios",,
,Trim String:iOS,"NSString *trimMe = @""    Trim this string      "";
trimMe = [trimMe stringByTrimmingCharactersInSet:[NSCharacterSet whitespaceAndNewlineCharacterSet]];

http://engineeringtheworld.wordpress.com/2011/02/07/how-to-trim-nsstring-in-objective-c-2-0-ios-ipad-iphone/
",,
,Background Process:iOS,"iOS has limited multi-tasking support. However, application can be put into background mode. To turn off this feature, click on [xcode project name]-Info.plist, and set ""Application does not run in background"" to YES.

This setting does not allow the application to go into the background mode, thus if the Home button is pressed, the application will be killed.",,
,Edit Table:iOS,"- (UITableViewCellEditingStyle)tableView:(UITableView *)tableView editingStyleForRowAtIndexPath:(NSIndexPath *)indexPath
{
    return UITableViewCellEditingStyleNone;
}

http://stackoverflow.com/questions/4560196/subclassed-uitableviewcell-make-the-delete-button-not-show-up",,
,Native Call:iOS,"Do not foget to use ""static"" e.g.

static void volumeListenerCallback(

http://stackoverflow.com/questions/801976/mixing-c-functions-in-an-objective-c-class",,
,Code In Tool:Android,"Allow the codes to know that it is running in IDE e.g Eclipse -

In your custom view class, call isInEditMode() (which is inherited from android.view.View) to determine if your view is being created and painted from within a tool rather than really running on a device or emulator. For example, for initializing mock-up data.

http://tools.android.com/recent/customviewsinthepalette",,
,Device Debug:Android,"Through DDMS (Dalvik Debug Monitor Service). DDMS allows:

1. Task management
2. File management
3. Emulator interaction
4. Logging
5. Screen captures",,
,Video Format:Android,"Supported video formats:

H.263
H.264
MPEG-4 SP
VP8

http://developer.android.com/guide/appendix/media-formats.html",,
,Audio Format:Android,"Supported audio formats:

AAC LC/LTP
HE-AACv1 (AAC+)
HE-AACv2 (enhanced AAC+)
AMR-NB
AMR-WB
FLAC
MP3
MIDI
Vorbis
PCM/WAVE

http://developer.android.com/guide/appendix/media-formats.html",,
,i18n:Android,"res/values/strings.xml
res/values-de/strings.xml
res/values-ru/strings.xml

usage:

@string/titleStatusMessage

this.getString(R.string.titleStatusMessage)

http://www.connorgarvey.com/blog/?p=9",,
,Common Directory:Android,"res/drawable
res/drawable-hdpi
res/drawable-mdpi
res/drawable-ldpi
res/layout
res/values",,
,Alpha Channel:Android,The prefix in the color code e.g. #f00c (full opacity) and #0fff (total transparency),,
,Style:Android,"Style defines the theme. System style is denoted with ""@android:style"", while the user defined style is specified with just ""@style"".

",,
,Landscape:Android Emulator,Ctrl + F11,,
,Landscape:iOS Emulator,Cmd + left/right arrow,,
,WYSIWYG Editor:Android,". Nine-patch graphic using the Draw 9-patch tool (draw9patch)
http://android10.org/index.php/articlesother/279-draw-9-patch-tutorial",,
,Trace:Android,"onCreate
    // start tracing to ""/sdcard/calc.trace""
    Debug.startMethodTracing(""calc"");   //file name is optional

onStop
    Debug.stopMethodTracing();   //without a stop, one will not see the file in logCat related to a specific emulator!!!

To view, use 

1. DDMS pull or
2. ""adb pull /sdcard/calc.trace ."" or
3. traceview calc.trace (only after step 1 or 2 above)",,
,Cleanup Method:Android,onDestroy(),,
,Cleanup Method:Java,finalize(),,
,IDE Shortcut:Eclipse,"All Eclipse related -

Ctrl + Shift + O = Organize/import packages
Ctrl + Shift + F = format source
Ctrl + Shift + S = Save all opened
Ctrl + Space = Context sensitive suggestion
Ctrl + Shift + G = Find Usages",,
,Magic Shortcut:iOS,"Ctrl + Shift + F = search for every occurence in the XCode
Cmd + 1 = Zoom Out Mode of Simulator
Cmd + 2 = Normal Mode of Simulator
Cmd + Alt + R = Launch Info|Arguments|Options|Diagnostics dialog
Shift + Cmd + H = Simulate clicking Home button in the simulator",,
,Activity Preferences:Android,"T extends PreferenceActivity {

   @Override
   protected void onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);
        //Gets the preference layout from xml
        addPreferencesFromResource(R.drawable.settings);
",,
,Shared Object:Android,XXXActivity extends android.app.Application,,
,Shared Object:iOS,AppDelegate,,
,Periodic Job:Android,". android.app.Alarm (new)

. use Thread.sleep in run() of a thread",,
,Thread Methods:Android,"isRunning()
interupt()",,
,Database:Android,. Default/out of the box is sqlite (android.database.sqlite.SQLiteDatabase),,
,Database:iOS,Default/out of the box is sqlite (via CoreData),,
,Object to String:Android,toString,,
,Object to String:iOS,description,,
,Common ORM:Android,ContentProvider,,
,Request Parameters:Grails,"params.parameter_name - getting a HTTP GET/POST parameter in view

request.expression_name - setting a value in a controller so that it can be retrieved with ${expression_name} in view

",,
,Request Parameters:Java,"HttpServletRequest request;
String value = request.getParameter(""parameter_name""); //getting

request.setAttribute(""expression_name"", value); //setting",,
,Scaffolding:Grails,"def scaffold = true

By default, scaffolding provides an index, list, show, edit, save, update, and delete action

http://stackoverflow.com/questions/4960147/paginate-error-grails-dynamic-scaffolding",,
,Screen:jQueryMobile,"Using@media css tag you change the property of class in Style sheet. 

@media all and (min-width: 650px){ /* styles class */  }
@media all and (min-width: 750px){  /* styles class */  }
@media all and (min-width: 1200px){ /* styles class */  }

Each line apply custom style to html depending of screen size.

http://forum.jquery.com/topic/how-does-jquery-mobile-website-adjusts-itself-according-to-the-screen-size-explanation-with-a-simple-example-required#14737000002979896",,
,large Text:Grails,"import com.google.appengine.api.datastore.Text

book.story = params.description as Text

http://stackoverflow.com/questions/6051944/in-gaelyk-how-do-i-store-the-form-submitted-params-variable-as-text-type-in-ent",,
,Closure:Groovy,"def x = {}

a piece of codes",,
,Closure:Java,"none

closest is annonymous inner class",,
,Main Concepts:Enyo,"Kind is like a class,it is an object prototype
Component is run time object
Control is a UI level component object",,
,Fixed Layout:Android,FrameLayout,,
,Fixed Layout:HTML,position:absolute,,
,Table:RDBMS,Table,,
,Table:Mongodb,Collection,,
,Secured Annotation:Spring,"@PreAuthorize(""hasRole('ROLE_USER')"")

@PreAuthorize(""hasPermission(#contact, 'admin')"")

http://static.springsource.org/spring-security/site/docs/3.0.x/reference/el-access.html",,
,Secured Annotation:Apache Shiro,"@RequiresPermissions(“account:create”)‏

@RequiresRoles( “teller” )

http://shiro.apache.org/static/current/apidocs/org/apache/shiro/authz/permission/WildcardPermission.html
http://shiro.apache.org/java-authorization-guide.html",,
,Flash Service:Android,BroadcastReceiver,,
,Sandbox Mode:Facebook,"Note that if you want to hide your web app from friends until you launch (from search, News Feed, Requests and other Social Channel), you'll need to enabled Sandbox Mode. You can find this setting on the Advanced tab.

http://developers.facebook.com/docs/guides/mobile/web/",,
,Common Methods:Apache Shiro Session,"Session session = subject.getSession();
session.getAttribute(“key”, someValue);
Date start = session.getStartTimestamp();
Date timestamp = session.getLastAccessTime();
session.setTimeout(millis);

http://www.infoq.com/articles/apache-shiro",,
,Background Process 2:Android,"Start a service in the BroadcastReceiver's onReceive method as the following:

	public void onReceive(Context context, Intent intent) {
		context.startService(new Intent(context, UpdateService.class));
	}

http://www.youtube.com/watch?v=i0hyfAKkNCY&feature=g-all-u&context=G2416ffdFAAAAAAAAAAA",,
,Integration:Android,"To be invoked by other app, use intent-filter.

To invoke another view:

Intent intent = new Intent(MyNextActivity.class) //between your app's Activities

or

Intent intent = new Intent(Intent.ACTION_DIAL) //between yours and the system's

To pass information, use intent.putExtra for the next Activity.",,
,Background Process 3:Android,"IntentService, this is like a cron job for Android. It is an efficient way to process multiple requests, in a queue and sequential manner.

In onHandleIntent vs. OnStartCommand.

This should be used instead of spawning a new thread in an Activity with while loop.",,
,Easy to Forget:Android,"1. Remember to add your Activity into AndroidManifest.xml, otherwise your app just crash without clear indication!

2. .show e.g. Toast.makeText(...).show (in the latest ADT announced in Google I/O 2012 6/28, you will get a compilation error if yu forget to call show!)

3. android.R e.g. android.R.layout.simple_list_item_1 if you removed main.xml and use ArrayAdapter",,
,Drop Down Menu:Android,android.widget.Spinner,,
,Drop Down Menu:iOS,"UIPickerView

http://stackoverflow.com/questions/8400801/any-pull-down-or-drop-down-menu-for-ios",,
,String Array:Android,"<string-array name=""spinner1Value"">
   <item>value1</item>
   <item>value2</item>
   <item>value3</item>
</string-array>

can be in values/strings.xml",,
,File Manager:Android,AssetManager,,
,Media Player:Android,android.media.MediaPlayer,,
,Observer Pattern:iOS,"Implementing a notification is pretty simple, to send a message implement this:

[[NSNotificationCenter defaultCenter] postNotificationName:@""MessageName"" object:self];

And to recieve a message,

[[NSNotificationCenter defaultCenter] addObserver:self selector:@selector(action:) name:@""MessageName"" object:sender];

http://devinsheaven.com/cocoa-tutorial-passing-messages-between-objects-notifications-delegates-and-target-action/",,
,,"To send a message:
  Intent intent = new Intent(""custom-event-name"");
  // You can also include some extra data.
  intent.putExtra(""message"", ""This is my message!"");
  LocalBroadcastManager.getInstance(this).sendBroadcast(intent);

To receive a message:

  LocalBroadcastManager.getInstance(this).registerReceiver(mMessageReceiver, 
  new IntentFilter(""custom-event-name""));

http://stackoverflow.com/questions/3947641/android-equivalent-to-nsnotificationcenter",,
,Emulator Orientation:Android,"Ctrl + F11 (Windows)

fn + control + F11 (Mac OS X)",,
,Emulator Orientation:iOS,"command + left arrow key

command + right arrow key",,
,Media Player:iOS,MPMoviePlayerViewController,,
,Host localhost:Android Emulator,10.0.2.2,,
,Right Alignment:Android Web,"style float:right does not work on Android 3.X (Honeycomb) and 4.X (ICS)

Something like the following will work:

position:absolute;top:5px;right:0;margin:28px 10px 0 0",,
,Language:Windows Phone 7,XNA/Silverlight,,
,Language:Blackberry,Java,,
,Screen:iOS,iPad 2 1024 x 768,,
,Hide Keyboard:iOS,"- (void)handleSearch:(UISearchBar *)searchBar {
...
[searchBar resignFirstResponder];",,
,Hide Keyboard:Android,"getWindow().setSoftInputMode(WindowManager.LayoutParams.SOFT_INPUT_STATE_HIDDEN);

or

InputMethodManager imm = (InputMethodManager)getSystemService(Context.INPUT_METHOD_SERVICE);
imm.hideSoftInputFromWindow(myEditText.getWindowToken(), 0);

http://stackoverflow.com/questions/3553779/android-dismiss-keyboard",,
,Useful Command:SQLite,".schema
.dump
sqlite3 moviedb-sqlite3.db .dump > dump.sql",,
,Common SQLite Method:Android,"db.insertWithOnConflict(TABLE, null, values, SQLiteDatabase.CONFLICT_IGNORE);",,
,Super User:Android,adb shell,,
,Super User:SQLIte,"sqlite3 [filename].sqlite (iOS)

sqlite3 [filename].db (Android)",,
,Cursor Adapter 1:Android,"SimpleCursorAdapter binds the SQLite columns to view's UI component by Id automatically with pagination support!

e.g.

list = (ListView) findViewById(R.id.list);

SimpleCursorAdapter adapter = new SimpleCursorAdapter(this, R.layout.list, cursor,
          new String[] { Definition.Item.TITLE, Definition.Item.CREATE_DATE }, new int[] { R.id.title, R.id.createDate});

list.setAdapter(adapter);",,
,Cursor Adapter:iOS,"None but have to be manually coded e.g.

@interface RootViewController : UITableViewController <NSFetchedResultsControllerDelegate>  {
...

- (NSInteger)tableView:(UITableView *)tableView numberOfRowsInSection:(NSInteger)section
{
    id <NSFetchedResultsSectionInfo> sectionInfo = [[fetchedResultsController sections] objectAtIndex:section];
    return [sectionInfo numberOfObjects];
}


- (NSFetchedResultsController *)fetchedResultsController
...
",,
,Cursor Adapter 2:Android,"A better approach is to use view binder, as one can inter-mix the business logics e.g.

...
  adapter.setViewBinder(new ViewBinder() {

  public boolean setViewValue(View aView, Cursor aCursor, int aColumnIndex) {
  if (aColumnIndex == 2) {
              String createDate = aCursor.getString(aColumnIndex);
              TextView textView = (TextView) aView;
              textView.setText(""Create date: "" + MyFormatterHelper.formatDate(getApplicationContext(), createDate));
...",,
,Friendly Time:Android,"DateUtils.getRelativeTimeSpanString(new SimpleDateFormat(""yyyy/MM/dd"").parse(input.toString()).getTime(), new Date().getTime(), DateUtils.DAY_IN_MILLIS, DateUtils.FORMAT_ABBREV_RELATIVE).toString()

or just

DateUtils.getRelativeTimeSpanString(new Date())

http://murodese.wordpress.com/category/android/",,
,Friendly Time:Java,Use Joda framework,,
,Permission:Android,"App level

Component level

Protection level
. normal
. dangerous (commonly used)
. signature
. signatureOrSystem

Granted at install time
All or nothing
Forever

http://rupertrawnsley.blogspot.com/2011_11_01_archive.html",,
,Autolink:Android,"By using this attribute, android can controls whether links(such as urls, emails, phone and address) are automatically found and converted to clickable links e.g.

android:autoLink=""email|web|phone""

android:autoLink=""all""

http://www.technotalkative.com/android-textview-autolink-attribute/",,
,Useful Component:Android,"ListActivity

android.widget.ArrayAdapter",,
,Fit Size:iOS,"[prevLabel sizeToFit];

[buttonPrevious sizeToFit];

[self.view sizeToFit];",,
,Fit Size:Android,"You need to set the text view size like this because otherwise setTextSize assumes the value is in SP units:

setTextSize(TypedValue.COMPLEX_UNIT_PX, trySize);

http://stackoverflow.com/questions/2617266/how-to-adjust-text-font-size-to-fit-textview/7875656#7875656",,
,Detect Orientation:Android,onSurfaceChanged,,
,Default Text:Android,"<EditText
   android:text=""Default Value""
...
</EditText>",,
,Default Text:HTML,<input type=text value=Default Text ...,,
,Resource Friendly String:Android,CharSequence,,
,Native Data Reload:Android,"adapter.notifyDataSetChanged();

For example, after a list item is removed.",,
,Simple Dialog 2:Android,"AlertDialog.Builder alertDialogBuilder = new AlertDialog.Builder(context);
 
alertDialogBuilder.setTitle(""Your Title"");

...

alertDialog.show();

http://www.mkyong.com/android/android-alert-dialog-example/",,
,Default Request Limit:.Net,4096 KB,,
,Native UI:Java,Swing / Java Foundation Class (JFC),,
,Native UI:.Net,Windows Presentation Foundation,,
,Desktop UI:Java,AWT,,
,Desktop UI:.Net,Windows Forms,,
,Mobile App:Java,"Java ME APIs (CLDC, MIDP, OpenGL, Java2D ...)",,
,Mobile App:.Net,"Silverlight, XNA Framework",,
,Class Library:Java,Java Class Library,,
,Class Library:.Net,.Net Framework Class Library,,
,Enterprise Component:Java,"Session Beans, Message Driven Beans, Timer Service",,
,Enterprise Component:.Net,"Windows Communication Foundation / Windows Workflow Foundation, Microsoft Message Queue, Custom Windows Services",,
,Web App and Service:Java,"JAX-WS, JAX-RS
JSF, JSP/Servlets
Applets, JavaFX",,
,Web App and Service:.Net,"WCF Web Service
ASP .Net, ASP .Net MVC
Silverlight",,
,Data Access:Java,"JDBC
JDO, JPA
JTA",,
,Data Access 1:.Net,"DataSet (default storage approach used by ASP.Net)
-an in-memory store than can contain one or more tables (rowsets) of data and optionally relationships between tables e.g. SqlDataSource
-can be with either embedded SQL or stored procedures
-in general, it is recommended to start with embedded SQL, then use a performance-profiling tool to find the most expensive SQL commands and then refactor them as stored procedures",,
,Integration:Java,"RMI
JMS
JCA",,
,Integration:.Net,"WCF
MSMQ
COM Interop",,
,Directory Service:Java,JNDI,,
,Directory Service:.Net,Active Directory,,
,Security:Java,JAAS,,
,Security:.Net,"Windows Authentication Service, Windows Identity Foundation",,
,Common Language:Java,Java Bytecodes,,
,Common Language:.Net,"Common Intermediate Language (also known as MSIL, CIL or simply IL)",,
,Simple Dialog:C#,"MessageBox.Show(""Hello World!"");",,
,Core MVC:.Net,". ASP .Net MVC
. No ViewState
. Does not inherit System.Web.UI.Page, thus no isPostBack",,
,Entity Framework .Net:With,"System.Data.Entity
System.Linq
:DbContext
DbSet<.*> (relationship)",,
,Fragment:.Net,"ASP.Net MVC
-renderpartial
-PartialView

ASP.Net
-Content Page (vs. Master Page)
-denoted by <asp:contentplaceholder",,
,Request Parameter:.Net,"ASP 1.0 - Request.Form / Request.QueryString(.*)
ASP .Net - Request[.*] / Request.Params[.*]",,
,ASP .Net 4.0:Version,". Able to tweak ViewState behaviour (activate per control basis)
. Can C# 4.0 and VB 10
. MultiView control (prev and next functionality)",,
,Windows Presentation Foundation (WPF):With,System.Windows,,
,Layering Tips:iOS,"if UIView does not work, try UIWindow",,
,Screen Abstraction:.Net,Device Independent Pixel (px) = 1/96th of an inch,,
,Binding 2:XAML,"XAML data binding e.g. <TextBox Text=""{Binding Path=UserName}"" />
. one way or two way (via mode attribute)
. anytime data is changed, custom validation can be applied
. value conversion/data format without code

e.g. binding a checbox to a visibility of a panel

<CheckBox Name=""RmdCheckBox"" ... />

<WrapPanel x:Name=""LayoutRoot"" Background=""White"" Height=""30"" Visibility=""{Binding !IsChecked, ElementName=RmdCheckBox, Converter={StaticResource BoolToVisConverter}}"">
...
</WrapPanel>",,
,Resource:.Net,"WPF

With a proper ResourceDictionary defined:

StaticResources

<Rectangle Fill=""{StaticResource MyBrush}"" />

DynamicResource

<ItemsControl ItemTemplate=""{DynamicResource MyItemTemplate}""  />",,
,Useful Command:.Net,". Set <UseIIS> in *.csproj to false, reload the project and the project should load without IIS installed
. Ctrl + Alt + O = Display (Debug) Output with the use of System.Diagnostics.Debug.written
. Ctrl + K C = Comment; Ctrl + K You = Uncomment
. Locate In Solution = In Solution Navigator, top corner (second/third from the right), used to show where is the current source in the project
. Ctlr + 3 = Quick Access (need to dock to Solution Navigator is not shown), used filtering the file",,
,Redirect:.Net,"ASP.Net 3.5+
Response.Buffer = true;
Response.Clear();
Response.StatusCode = ""301 Moved"";
Response.AddHeader(""Location"", ""Default2.aspx"");
Response.Write(""<html><body>Page moved permanently to <a href=\""New.aspx\"">New</a></body></html>"");
Response.End();

http://forums.asp.net/t/1560622.aspx/1
http://www.mycsharpcorner.com/Post.aspx?postID=40",,
,IDE Shortcuts:Eclipse,"Alt + Left Arrow = Navigate Backward
Alt + Right Arrow = Navigate Forward",,
,IDE Shortcuts:MS Visual Studio,"Ctrl + - = Navigate Backward
Ctrl + Shift + - = Navigate Forward",,
,CRUD:.Net,"MS Visual Web Developer
. Drag and drop GridView into designer
. Check paging, editing, deletion and selection in the GridView tasks
. Optionally check Edit columns (to remove any columns from the display)
. Optionally check Auto format to make the table looks nicer",,
,CRUD:Grails,". Set scaffold to true in the domain object
. Optionally Run ""grails install-templates"" and customize .gsp file(s) as needed",,
,CRUD:Tapestry,". Use Grid component in start page
. Customize delete link in start page
. Use BeanEditForm for save page
. Link the save page into start page",,
,Main Navigation:.Net,"ASP.Net
-In Toolbox (Ctrl + Alt + x), drag and drop a Menu control within the Navigation section into the designer/source code
-Change the StaticDisplayLevels from 1 (default) to 2 if needed to show the next levels of links as well",,
,ASP.Net Master Page:With,". <%@ Master Language=""xxx"" %> where xxx like VB, C# etc.

. File extension is .master",,
,ASP.Net Content Page:With,". Has MasterPagefile in @Page directive e.g.
<%@ Page Language=""VB"" MasterPagefile=""~/PPQ.master"" ...

. Has the following content (no HTML html and body tags)

<asp:Content ContentPlaceHolderId=""CPH1"" runat=""server"">
  <h2>Individual Content</h2>
  <p>Paragraph 1</p>
  <p>Paragraph 2</p>
</asp:Content>

. File is Default.aspx (by default)

http://www.w3schools.com/aspnet/aspnet_masterpages.asp",,
,Accessibility:.Net,"ASP.Net
-AccessKey
-DescriptionUrl
-GenerateEmptyAlternateText
-TabIndex",,
,Relationships:.Net,"ASP.Net
-use datatabase diagram
-use Table Designer (insert and update specification: Delete Rule and Update Rule; No Action, Cascade, Set Null or Set Default)",,
,Relationships:Grails,"One-to-One
. static hasOne = [children:Child]
.

One-to-Many
. static hasMany = [children:Child] in the parent class
. static belongsTo = [parent:Parent] in the child (inverse relationship; optional)

The default cascading behaviour is to cascade saves and updates, but not deletes unless a belongsTo is also specified

Many-to-Many
. define a hasMany on both sides of the relationship and having a belongsTo on the owned side of the relationship (like a child)",,
,Split View:.Net,"ASP.Net
-Use Master-Detail view controls like GridView (can be the left panel) and DetailView (can be the right panel)
-If DetailView is not enough, further customization for the Edit/Update mode can be supported by FormView control",,
,Breaking Line:.Net,"VB.Net
-a space and an underscore ('_') to the end of the first line",,
,Nested Data:.Net,"ASP.Net
-use <ItemTemplate> with <asp:Repeater
",,
,ASP.Net Form Authentication:With,"In web.config:

<roleManager enabled=""true"" />
<authentication mode=""Forms"" />",,
,Main Concepts:ASP.Net MVC 4,". Web API
. Single page app",,
,Useful Command:ApacheDS,sudo /usr/bin/apacheds stop default,,
,State Machine Pattern:With,"-Complex navigation
-Use to represent the navigation between web pages
-Each page represents a state
-Actions taken by users are events that trigger transitions from one state to another
-The user is constrained by the transitions that are defined in the state diagram
-A transition can loop back on itself to represent an invalid operation",,
,Intercepting Filter Pattern:With,Common HTTP processing steps,,
,ASP.Net Server Controls:What,". HTML Server Controls - typical HTML control but accesible via server side script

. Web Server Controls - new ASP.Net tags, more powerful and does not necessarily mapped to any HTML controls

. Validation Server Controls - for input validation",,
,Page Controller Pattern:With,"-in the context of the usage of MVC pattern
-maximize code reuse
-minimize code duplication
-each link has a controller
-each controller inherits a base controller to avoid code duplication
-controller invokes a proper methods to populate the model, and pick the right view to display the model",,
,Front Controller Pattern:With,"-in the context of the usage of MVC pattern
-your page controller classes have complex logic or
-are part of a deep inheritance hierarchy
-your app determines the navigation between pages dynamically based on configurable rules
-single controller instead of multiple (c.f. page controller)
-generally involves two steps: retrieve parameters and select commands (which ultimately select the right view)",,
,Transaction Script Pattern:With,"-organize business logic for simple and straightforward app
-by procedure
-each procedure handles a single request from the presentation (transaction)
-your task is to get the input data, interrogate the database, do some business logic and save your results to the database
",,
,Table Module Pattern:With,-a single instance that handles the business logic for all rows in a database table or view,,
